ID,Title,author,price,publishdate,digitalCopy
11111111-1111-1111-1111-111111111111,The Silent Ocean,John Miller,499.99,2022-03-15T10:00:00,true
22222222-2222-2222-2222-222222222222,Learning CAPM Fast,Sarah Johnson,699.50,2023-07-21T12:30:00,true
33333333-3333-3333-3333-333333333333,AI Revolution,David Brown,899.00,2021-11-10T09:15:00,false
44444444-4444-4444-4444-444444444444,Modern JavaScript,Emily Davis,599.25,2020-05-05T14:45:00,true
55555555-5555-5555-5555-555555555555,Cloud Computing Basics,Michael Wilson,750.00,2024-01-01T08:00:00,true
66666666-6666-6666-6666-666666666666,Deep Learning Guide,Chris Taylor,1200.99,2022-09-18T16:20:00,false
77777777-7777-7777-7777-777777777777,Node.js Essentials,Jessica Anderson,450.75,2021-02-25T11:10:00,true
88888888-8888-8888-8888-888888888888,Data Structures Made Easy,Daniel Thomas,520.40,2019-08-30T13:55:00,false
99999999-9999-9999-9999-999999999999,Introduction to Databases,Laura Jackson,610.60,2023-04-12T17:35:00,true
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Software Engineering Principles,Robert White,830.00,2020-12-20T19:00:00,false
